lead_id,enquiry_date,lead_source,product_category,region,response_time_hours,stage,deal_value_gbp,customer_type
LD-316,30/07/2022,Cold Call,Industrial Hardware,South West,63,Qualified,68044.9,Contractor
LD-317,10/05/2023,Email Campaign,Packaging,London,49,Won,68081.93,Trade
LD-318,28/12/2024,Referral,Industrial Hardware,South West,58,Qualified,76573.42,Contractor
LD-319,18/03/2024,Referral,Packaging,South West,67,Won,12954.02,Government
LD-320,29/08/2022,Referral,Warehouse Equipment,South East,14,Qualified,15793.21,Contractor
LD-321,29/01/2024,Referral,Warehouse Equipment,South East,85,Lost,51160.52,Government
LD-322,15/07/2022,Online Directory,Packaging,Midlands,56,Enquiry,26088.57,Trade
LD-323,16/12/2022,Online Directory,Safety Products,South West,24,Enquiry,74827.75,Retail
LD-324,12/06/2022,Trade Show,Warehouse Equipment,North,24,Won,84293.74,Contractor
LD-325,28/02/2023,Cold Call,Warehouse Equipment,South West,48,Proposal Sent,33499.1,Government
LD-326,01/02/2022,Cold Call,Industrial Hardware,South East,27,Lost,11759.93,Contractor
LD-327,09/10/2022,Referral,MRO Supplies,South East,55,Lost,59505.1,Retail
LD-328,03/05/2024,Email Campaign,Warehouse Equipment,North,94,Proposal Sent,51118.89,Trade
LD-329,22/07/2024,Trade Show,Safety Products,South West,12,Qualified,64477.8,Trade
LD-330,01/10/2022,Website,Packaging,South East,83,Proposal Sent,18419.44,Contractor
LD-331,18/11/2022,Email Campaign,Industrial Hardware,North,11,Lost,5248.64,Government
LD-332,23/11/2022,Trade Show,Safety Products,South East,55,Proposal Sent,31859.57,Retail
LD-333,10/05/2023,Referral,Warehouse Equipment,Midlands,76,Qualified,36290.45,Government
LD-334,09/10/2022,Referral,Safety Products,London,18,Enquiry,32683.33,Contractor
LD-335,15/09/2024,Online Directory,Warehouse Equipment,South West,68,Won,64198.26,Retail
LD-336,11/12/2023,Trade Show,Warehouse Equipment,South East,8,Enquiry,10525.04,Government
LD-337,15/08/2024,Cold Call,Industrial Hardware,North,72,Enquiry,26519.95,Contractor
LD-338,29/07/2022,Referral,MRO Supplies,London,51,Proposal Sent,55315.94,Contractor
LD-339,24/04/2022,Referral,Warehouse Equipment,Midlands,17,Proposal Sent,42628.63,Retail
LD-340,11/08/2024,Cold Call,Warehouse Equipment,North,82,Won,82105.14,Retail
LD-341,19/12/2024,Trade Show,Packaging,North,61,Enquiry,53409.29,Retail
LD-342,11/11/2023,Trade Show,Safety Products,North,19,Lost,63417.18,Contractor
LD-343,03/02/2024,Website,Packaging,Midlands,31,Won,15578.06,Government
LD-344,29/09/2023,Email Campaign,Safety Products,South West,29,Won,62815.86,Contractor
LD-345,27/04/2024,Trade Show,Warehouse Equipment,South West,41,Proposal Sent,32028.54,Government
LD-346,06/07/2024,Referral,Industrial Hardware,Midlands,23,Proposal Sent,67264.79,Trade
LD-347,15/04/2023,Online Directory,Safety Products,London,73,Proposal Sent,30398.76,Trade
LD-348,08/09/2024,Online Directory,MRO Supplies,South East,77,Proposal Sent,34677.53,Retail
LD-349,23/10/2023,Trade Show,Safety Products,Midlands,91,Enquiry,10816.76,Retail
LD-350,05/05/2023,Trade Show,Warehouse Equipment,South West,53,Lost,58529.83,Contractor
LD-351,25/03/2023,Cold Call,Industrial Hardware,South West,37,Enquiry,66364.45,Government
LD-352,14/04/2024,Online Directory,MRO Supplies,North,30,Won,55956.32,Government
LD-353,10/10/2023,Email Campaign,Packaging,London,13,Proposal Sent,24868.21,Contractor
LD-354,28/07/2022,Website,Warehouse Equipment,South East,12,Lost,14260.48,Retail
LD-355,28/04/2023,Email Campaign,Industrial Hardware,North,20,Enquiry,48227.32,Retail
LD-356,27/05/2023,Website,MRO Supplies,London,73,Won,49793.19,Trade
LD-357,25/04/2024,Website,Packaging,London,20,Proposal Sent,3622.4,Contractor
LD-358,20/07/2022,Website,Packaging,South West,75,Proposal Sent,62763.73,Trade
LD-359,15/09/2023,Email Campaign,Warehouse Equipment,South East,46,Lost,9076.43,Trade
LD-360,26/05/2023,Trade Show,Warehouse Equipment,Midlands,76,Proposal Sent,40546.6,Contractor
LD-361,03/04/2024,Website,Packaging,North,58,Won,44744.47,Government
LD-362,29/04/2024,Referral,Safety Products,London,46,Enquiry,37374.94,Trade
LD-363,11/05/2022,Referral,Safety Products,London,47,Lost,58439.6,Contractor
LD-364,01/09/2022,Online Directory,Safety Products,North,17,Lost,67690.55,Retail
LD-365,23/06/2023,Referral,MRO Supplies,South West,31,Won,20424.13,Retail
LD-366,01/01/2023,Referral,Packaging,London,24,Lost,39886.12,Trade
LD-367,11/02/2024,Trade Show,Warehouse Equipment,North,84,Won,71695.61,Retail
LD-368,13/12/2024,Trade Show,Warehouse Equipment,London,82,Proposal Sent,9045.63,Government
LD-369,15/06/2022,Email Campaign,Safety Products,Midlands,30,Enquiry,12000.91,Trade
LD-370,13/08/2022,Online Directory,Safety Products,London,31,Lost,75134.11,Retail
LD-371,11/04/2024,Referral,Safety Products,South West,39,Enquiry,50300.01,Trade
LD-372,09/10/2024,Referral,MRO Supplies,Midlands,93,Won,3044.9,Contractor
LD-373,10/06/2022,Email Campaign,Warehouse Equipment,South West,72,Lost,8121.67,Retail
LD-374,10/08/2024,Cold Call,MRO Supplies,North,70,Qualified,26946.47,Retail
LD-375,16/11/2024,Website,Safety Products,South East,66,Qualified,70866.63,Government
LD-376,10/09/2024,Website,Packaging,South West,36,Lost,30308.29,Retail
LD-377,15/02/2024,Trade Show,MRO Supplies,South East,91,Enquiry,6629.16,Contractor
LD-378,13/12/2022,Website,Packaging,South West,79,Qualified,83082.32,Contractor
LD-379,08/02/2022,Email Campaign,Warehouse Equipment,South West,86,Lost,59197.2,Trade
LD-380,09/11/2022,Referral,Safety Products,South East,74,Won,81637.05,Retail
LD-381,24/12/2024,Email Campaign,Warehouse Equipment,London,43,Proposal Sent,58938.0,Trade
LD-382,29/08/2022,Referral,Packaging,South East,40,Lost,60378.19,Trade
LD-383,12/08/2023,Referral,Packaging,North,29,Won,74181.46,Trade
LD-384,02/05/2023,Cold Call,Warehouse Equipment,South East,92,Proposal Sent,46537.89,Retail
LD-385,16/12/2024,Trade Show,MRO Supplies,South West,90,Won,74229.39,Retail
LD-386,21/05/2022,Trade Show,Packaging,Midlands,58,Lost,71232.42,Retail
LD-387,01/06/2023,Online Directory,Industrial Hardware,South East,57,Proposal Sent,52984.79,Contractor
LD-388,06/10/2024,Email Campaign,Safety Products,South West,34,Enquiry,69631.52,Government
LD-389,09/03/2024,Website,Warehouse Equipment,South East,47,Qualified,51067.75,Government
LD-390,06/10/2023,Website,Safety Products,South West,89,Enquiry,12395.88,Government
LD-391,13/11/2022,Online Directory,Packaging,North,91,Enquiry,54502.52,Trade
LD-392,07/09/2024,Trade Show,MRO Supplies,Midlands,28,Lost,80881.06,Government
LD-393,14/02/2022,Online Directory,MRO Supplies,Midlands,86,Proposal Sent,63830.86,Retail
LD-394,07/11/2022,Cold Call,Industrial Hardware,London,81,Qualified,5618.95,Government
LD-395,25/05/2024,Website,Safety Products,Midlands,52,Lost,11637.15,Government
LD-396,06/10/2022,Website,Industrial Hardware,North,45,Enquiry,73588.31,Retail
LD-397,06/11/2022,Referral,Warehouse Equipment,North,53,Enquiry,52673.07,Retail
LD-398,04/03/2024,Cold Call,MRO Supplies,South East,33,Proposal Sent,61984.28,Retail
LD-399,25/02/2022,Cold Call,Packaging,North,50,Qualified,67548.1,Government
LD-400,07/12/2022,Website,Safety Products,London,19,Qualified,53749.24,Retail
LD-401,07/07/2022,Cold Call,Industrial Hardware,South West,76,Enquiry,45385.56,Government
LD-402,05/02/2022,Online Directory,Industrial Hardware,London,65,Enquiry,80694.78,Government
LD-403,17/04/2024,Website,Packaging,South West,4,Won,46996.23,Retail
LD-404,15/06/2023,Online Directory,MRO Supplies,South East,93,Enquiry,20823.44,Contractor
LD-405,25/12/2022,Website,Warehouse Equipment,North,39,Qualified,18056.26,Retail
LD-406,01/07/2022,Trade Show,MRO Supplies,London,23,Lost,28602.84,Government
LD-407,07/07/2023,Online Directory,Warehouse Equipment,Midlands,96,Qualified,82700.28,Trade
LD-408,14/06/2023,Cold Call,Warehouse Equipment,South West,44,Enquiry,29245.39,Retail
LD-409,07/09/2023,Trade Show,Packaging,South East,94,Proposal Sent,17503.1,Government
LD-410,02/10/2023,Trade Show,Industrial Hardware,London,21,Enquiry,84107.98,Government
LD-411,10/06/2022,Referral,Warehouse Equipment,North,31,Lost,77887.23,Retail
LD-412,12/03/2022,Website,Safety Products,Midlands,29,Enquiry,55519.13,Government
LD-413,05/12/2024,Referral,Industrial Hardware,South East,1,Won,38518.33,Retail
LD-414,08/04/2024,Online Directory,Safety Products,North,56,Proposal Sent,70078.91,Government
LD-415,12/11/2022,Referral,Industrial Hardware,Midlands,87,Qualified,40407.44,Contractor
LD-416,09/10/2022,Email Campaign,Packaging,Midlands,18,Won,37562.27,Trade
LD-417,06/05/2022,Online Directory,Packaging,North,33,Proposal Sent,67635.02,Government
LD-418,18/08/2022,Website,MRO Supplies,Midlands,27,Proposal Sent,37405.57,Contractor
LD-419,25/04/2022,Cold Call,Packaging,Midlands,16,Won,6638.74,Contractor
LD-420,04/03/2022,Website,Warehouse Equipment,Midlands,20,Qualified,50254.37,Contractor
LD-421,02/12/2022,Online Directory,Safety Products,North,48,Won,74127.62,Trade
LD-422,14/05/2022,Website,MRO Supplies,London,68,Enquiry,65651.71,Trade
LD-423,03/11/2024,Cold Call,Industrial Hardware,Midlands,40,Qualified,72079.58,Government
LD-424,18/11/2022,Email Campaign,Warehouse Equipment,South East,65,Proposal Sent,27645.69,Retail
LD-425,12/08/2024,Trade Show,Safety Products,South East,93,Qualified,20138.4,Trade
LD-426,13/09/2022,Email Campaign,Packaging,Midlands,11,Enquiry,67142.07,Trade
LD-427,16/02/2022,Trade Show,Safety Products,London,67,Proposal Sent,41204.25,Contractor
LD-428,25/02/2022,Cold Call,Industrial Hardware,Midlands,12,Qualified,34133.86,Trade
LD-429,08/06/2022,Website,Industrial Hardware,Midlands,72,Qualified,66185.6,Government
LD-430,24/04/2023,Website,Industrial Hardware,South East,57,Won,1074.97,Contractor
LD-431,05/10/2022,Referral,Safety Products,Midlands,25,Qualified,18722.27,Trade
LD-432,10/12/2024,Trade Show,Warehouse Equipment,Midlands,20,Qualified,70668.15,Government
LD-433,31/08/2023,Online Directory,MRO Supplies,Midlands,49,Qualified,15650.02,Retail
LD-434,03/09/2023,Trade Show,Industrial Hardware,South West,32,Lost,9968.77,Contractor
LD-435,22/01/2023,Referral,Packaging,London,51,Qualified,31268.76,Trade
LD-436,04/08/2024,Online Directory,Safety Products,South West,23,Won,61157.54,Trade
LD-437,22/04/2024,Online Directory,Industrial Hardware,London,80,Lost,83210.55,Trade
LD-438,10/03/2024,Website,Packaging,South West,14,Qualified,52590.97,Retail
LD-439,26/09/2023,Online Directory,Warehouse Equipment,Midlands,34,Won,3221.88,Retail
LD-440,26/04/2022,Referral,Industrial Hardware,Midlands,33,Proposal Sent,82793.45,Government
LD-441,04/03/2022,Cold Call,Safety Products,North,72,Won,37570.93,Contractor
LD-442,21/04/2022,Trade Show,Warehouse Equipment,South East,44,Enquiry,25903.49,Contractor
LD-443,16/05/2024,Referral,Industrial Hardware,Midlands,88,Lost,65274.78,Contractor
LD-444,14/09/2022,Trade Show,Packaging,London,6,Qualified,19303.93,Contractor
LD-445,07/04/2022,Cold Call,MRO Supplies,London,16,Enquiry,21743.63,Retail
LD-446,11/01/2024,Cold Call,MRO Supplies,London,21,Proposal Sent,952.55,Trade
LD-447,31/10/2023,Email Campaign,MRO Supplies,Midlands,15,Qualified,19367.4,Trade
LD-448,31/10/2023,Trade Show,Packaging,Midlands,17,Enquiry,24266.07,Government
LD-449,20/11/2024,Cold Call,MRO Supplies,South West,63,Qualified,77526.75,Retail
LD-450,12/02/2022,Trade Show,Safety Products,London,67,Lost,9419.71,Contractor
LD-451,19/06/2024,Cold Call,Packaging,London,95,Proposal Sent,44540.45,Contractor
LD-452,10/02/2023,Website,Industrial Hardware,London,94,Enquiry,83692.97,Government
LD-453,17/05/2022,Trade Show,Packaging,Midlands,67,Lost,7601.37,Contractor
LD-454,28/11/2023,Trade Show,Warehouse Equipment,South East,21,Qualified,3271.59,Contractor
LD-455,08/02/2022,Website,Safety Products,South East,2,Qualified,22504.61,Contractor
LD-456,27/11/2023,Email Campaign,Packaging,North,12,Enquiry,81992.81,Trade
LD-457,24/04/2024,Online Directory,Warehouse Equipment,South West,92,Proposal Sent,46647.76,Trade
LD-458,25/12/2022,Cold Call,Packaging,Midlands,73,Lost,83138.44,Retail
LD-459,08/04/2024,Website,MRO Supplies,North,59,Proposal Sent,80180.46,Retail
LD-460,07/04/2023,Trade Show,Packaging,London,34,Lost,22787.12,Trade
LD-461,07/07/2024,Email Campaign,MRO Supplies,London,6,Enquiry,26761.46,Government
LD-462,28/09/2024,Website,Safety Products,South East,83,Lost,51628.78,Contractor
LD-463,01/07/2023,Email Campaign,Safety Products,South East,15,Lost,23884.56,Contractor
LD-464,02/04/2023,Website,Industrial Hardware,Midlands,49,Won,17618.27,Trade
LD-465,12/03/2023,Trade Show,MRO Supplies,South West,63,Won,8061.0,Retail
LD-466,13/10/2022,Referral,Safety Products,North,58,Lost,42815.16,Contractor
LD-467,22/11/2023,Trade Show,Packaging,North,39,Qualified,51119.9,Contractor
LD-468,12/06/2024,Trade Show,Industrial Hardware,North,32,Qualified,38385.48,Retail
LD-469,21/05/2022,Referral,Industrial Hardware,South West,36,Won,76146.69,Government
LD-470,15/12/2024,Email Campaign,Warehouse Equipment,London,62,Proposal Sent,35450.55,Retail
LD-471,13/03/2023,Referral,MRO Supplies,South East,12,Lost,40137.27,Trade
LD-472,22/09/2023,Email Campaign,Packaging,Midlands,75,Lost,73595.09,Government
LD-473,17/02/2022,Referral,Warehouse Equipment,Midlands,61,Lost,76671.47,Trade
LD-474,15/12/2024,Website,MRO Supplies,Midlands,64,Proposal Sent,11249.16,Retail
LD-475,22/09/2023,Website,MRO Supplies,London,2,Proposal Sent,28485.24,Government
LD-476,10/04/2024,Online Directory,Industrial Hardware,North,18,Lost,82263.27,Government
LD-477,28/01/2024,Online Directory,Warehouse Equipment,London,88,Enquiry,76051.94,Contractor
LD-478,08/06/2023,Email Campaign,MRO Supplies,South East,61,Lost,59519.41,Trade
LD-479,23/01/2024,Referral,Packaging,North,78,Enquiry,76822.02,Retail
LD-480,13/07/2022,Online Directory,Industrial Hardware,South West,66,Enquiry,59735.01,Retail
LD-481,13/10/2024,Cold Call,Safety Products,South West,83,Qualified,82477.83,Government
LD-482,17/02/2022,Trade Show,Packaging,South East,92,Qualified,64086.92,Government
LD-483,01/05/2022,Online Directory,MRO Supplies,South West,20,Enquiry,41451.29,Contractor
LD-484,17/11/2022,Online Directory,Packaging,Midlands,25,Qualified,59982.78,Contractor
LD-485,13/02/2023,Referral,Packaging,South East,96,Qualified,47867.73,Contractor
LD-486,02/03/2024,Online Directory,MRO Supplies,South West,37,Lost,10325.69,Contractor
LD-487,15/05/2024,Email Campaign,Safety Products,North,14,Enquiry,49801.49,Government
LD-488,17/01/2024,Website,Warehouse Equipment,Midlands,9,Enquiry,56666.16,Retail
LD-489,24/09/2024,Cold Call,Packaging,Midlands,93,Qualified,41627.32,Trade
LD-490,27/10/2024,Referral,Safety Products,South West,80,Proposal Sent,59646.28,Government
LD-491,10/07/2022,Online Directory,Warehouse Equipment,Midlands,33,Qualified,78276.56,Contractor
LD-492,03/10/2022,Website,Industrial Hardware,Midlands,24,Lost,16860.69,Government
LD-493,18/01/2024,Referral,MRO Supplies,Midlands,67,Enquiry,17674.95,Contractor
LD-494,10/08/2023,Website,Industrial Hardware,Midlands,66,Qualified,66809.68,Trade
LD-495,31/03/2022,Cold Call,Packaging,South West,25,Proposal Sent,65852.83,Contractor
LD-496,12/01/2024,Cold Call,Warehouse Equipment,Midlands,38,Qualified,30396.73,Retail
LD-497,23/08/2023,Website,Industrial Hardware,North,8,Enquiry,8509.67,Contractor
LD-498,02/08/2024,Email Campaign,Safety Products,North,93,Won,66005.5,Trade
LD-499,22/01/2023,Website,Warehouse Equipment,North,8,Lost,41651.42,Government
LD-500,09/01/2022,Online Directory,Industrial Hardware,London,51,Won,3955.4,Contractor
LD-501,18/04/2022,Email Campaign,Packaging,South West,1,Lost,11071.76,Contractor
LD-502,06/02/2024,Online Directory,Safety Products,South East,33,Enquiry,13352.72,Government
LD-503,15/12/2023,Trade Show,MRO Supplies,North,94,Qualified,23315.18,Contractor
LD-504,18/05/2024,Email Campaign,Industrial Hardware,South East,76,Lost,31257.99,Contractor
LD-505,25/11/2023,Website,MRO Supplies,South East,26,Qualified,7322.6,Retail
LD-506,04/10/2023,Online Directory,MRO Supplies,South East,46,Enquiry,55540.64,Retail
LD-507,17/10/2022,Online Directory,Industrial Hardware,South West,64,Lost,83062.81,Retail
LD-508,31/10/2024,Referral,Warehouse Equipment,South West,1,Won,16347.88,Contractor
LD-509,18/05/2024,Online Directory,Warehouse Equipment,Midlands,60,Proposal Sent,78218.46,Government
LD-510,18/08/2023,Email Campaign,Warehouse Equipment,Midlands,80,Qualified,9694.55,Government
LD-511,03/01/2024,Email Campaign,Warehouse Equipment,North,3,Qualified,73913.04,Government
LD-512,21/12/2023,Trade Show,Warehouse Equipment,South East,71,Enquiry,800.33,Trade
LD-513,09/01/2022,Trade Show,Industrial Hardware,Midlands,95,Qualified,66175.71,Trade
LD-514,20/07/2024,Website,Safety Products,London,49,Qualified,20275.19,Contractor
LD-515,01/01/2022,Email Campaign,MRO Supplies,South East,28,Enquiry,42948.52,Government
LD-516,31/07/2024,Referral,Industrial Hardware,South East,16,Proposal Sent,17789.67,Retail
LD-517,25/01/2023,Email Campaign,Industrial Hardware,Midlands,63,Proposal Sent,19945.31,Contractor
LD-518,25/12/2022,Trade Show,Safety Products,North,44,Qualified,36632.71,Trade
LD-519,17/09/2022,Email Campaign,Warehouse Equipment,North,41,Proposal Sent,55390.57,Retail
LD-520,20/02/2024,Website,Packaging,North,70,Qualified,15796.8,Government
LD-521,29/01/2023,Cold Call,Packaging,North,95,Proposal Sent,57074.47,Retail
LD-522,16/06/2024,Referral,Industrial Hardware,North,73,Enquiry,54187.62,Trade
LD-523,07/01/2022,Trade Show,Safety Products,South East,38,Enquiry,16965.61,Government
LD-524,07/04/2022,Email Campaign,MRO Supplies,South East,22,Enquiry,5363.62,Contractor
LD-525,04/08/2022,Email Campaign,MRO Supplies,Midlands,63,Lost,8675.74,Trade
LD-526,09/05/2023,Trade Show,Warehouse Equipment,London,47,Qualified,24536.73,Trade
LD-527,31/08/2022,Referral,Industrial Hardware,South East,54,Enquiry,18257.61,Trade
LD-528,23/11/2023,Email Campaign,Warehouse Equipment,South East,43,Proposal Sent,62299.16,Trade
LD-529,07/06/2024,Trade Show,MRO Supplies,London,17,Qualified,75178.38,Government
LD-530,25/11/2022,Cold Call,Packaging,London,41,Enquiry,65126.58,Government
LD-531,25/12/2023,Referral,Safety Products,Midlands,88,Qualified,76385.85,Contractor
LD-532,02/04/2023,Online Directory,Industrial Hardware,Midlands,8,Qualified,24748.76,Trade
LD-533,10/04/2023,Website,MRO Supplies,South East,85,Proposal Sent,29721.03,Trade
LD-534,22/01/2022,Online Directory,MRO Supplies,South East,87,Won,18479.25,Trade
LD-535,21/09/2022,Online Directory,Industrial Hardware,North,17,Enquiry,74183.02,Government
LD-536,07/08/2022,Trade Show,Warehouse Equipment,South East,20,Proposal Sent,57933.74,Contractor
LD-537,16/11/2023,Referral,Industrial Hardware,South West,4,Qualified,27184.7,Trade
LD-538,05/07/2022,Email Campaign,Packaging,South East,60,Enquiry,30589.33,Contractor
LD-539,31/08/2022,Website,Packaging,North,93,Lost,72613.86,Contractor
LD-540,05/05/2023,Website,Industrial Hardware,London,89,Enquiry,46953.67,Trade
LD-541,19/07/2024,Online Directory,Packaging,London,21,Won,32361.63,Contractor
LD-542,26/09/2022,Trade Show,Packaging,South East,28,Enquiry,13523.46,Retail
LD-543,28/04/2024,Cold Call,Packaging,London,90,Proposal Sent,60576.0,Trade
LD-544,13/01/2022,Referral,Warehouse Equipment,South East,77,Lost,77886.67,Contractor
LD-545,22/12/2023,Online Directory,Industrial Hardware,South West,57,Won,30588.36,Government
LD-546,21/10/2023,Email Campaign,Industrial Hardware,Midlands,47,Won,50816.64,Government
LD-547,28/01/2023,Trade Show,Industrial Hardware,London,21,Lost,42492.16,Retail
LD-548,09/05/2022,Referral,Packaging,Midlands,33,Qualified,46149.59,Retail
LD-549,13/10/2024,Email Campaign,Warehouse Equipment,North,15,Enquiry,37402.88,Retail
LD-550,03/10/2024,Cold Call,MRO Supplies,South East,95,Qualified,53394.23,Government
LD-551,09/05/2022,Trade Show,Warehouse Equipment,South West,38,Proposal Sent,65090.95,Government
LD-552,24/01/2024,Website,Safety Products,North,74,Won,60683.55,Government
LD-553,19/12/2023,Online Directory,MRO Supplies,Midlands,56,Enquiry,56753.95,Retail
LD-554,11/08/2024,Trade Show,Warehouse Equipment,South West,57,Proposal Sent,25930.26,Trade
LD-555,03/10/2023,Referral,Safety Products,North,79,Won,78653.6,Contractor
LD-556,26/08/2023,Email Campaign,Warehouse Equipment,Midlands,8,Won,20608.13,Retail
LD-557,29/07/2024,Online Directory,Warehouse Equipment,London,95,Lost,21190.05,Contractor
LD-558,21/11/2024,Online Directory,Safety Products,Midlands,26,Proposal Sent,72169.84,Trade
LD-559,31/12/2022,Website,Packaging,London,19,Lost,16526.55,Trade
LD-560,10/01/2024,Online Directory,Safety Products,North,55,Lost,14482.51,Contractor
LD-561,30/05/2022,Email Campaign,Safety Products,North,76,Proposal Sent,11533.12,Contractor
LD-562,22/11/2022,Website,Safety Products,South East,93,Proposal Sent,78440.6,Retail
LD-563,02/06/2022,Referral,Safety Products,North,12,Won,26777.86,Contractor
LD-564,09/02/2022,Email Campaign,Warehouse Equipment,London,67,Qualified,26805.62,Trade
LD-565,15/06/2023,Trade Show,Industrial Hardware,South East,67,Lost,76420.89,Retail
LD-566,14/05/2022,Referral,MRO Supplies,London,32,Lost,75754.23,Government
LD-567,11/07/2024,Website,Packaging,Midlands,27,Proposal Sent,41589.81,Contractor
LD-568,08/03/2022,Trade Show,Safety Products,South West,31,Proposal Sent,2095.22,Contractor
LD-569,10/07/2024,Cold Call,MRO Supplies,South East,71,Won,74491.56,Contractor
LD-570,07/02/2022,Email Campaign,Warehouse Equipment,North,57,Enquiry,56287.68,Contractor
LD-571,22/05/2023,Website,MRO Supplies,Midlands,56,Enquiry,55153.12,Trade
LD-572,15/05/2023,Online Directory,MRO Supplies,South East,61,Won,6421.45,Government
LD-573,31/07/2023,Website,Warehouse Equipment,South West,14,Proposal Sent,59559.23,Trade
LD-574,15/11/2024,Online Directory,Warehouse Equipment,Midlands,14,Proposal Sent,53943.1,Trade
LD-575,09/10/2024,Cold Call,Warehouse Equipment,South West,25,Won,24460.92,Contractor
LD-576,16/12/2024,Email Campaign,Warehouse Equipment,South West,53,Proposal Sent,46637.11,Trade
LD-577,14/01/2023,Online Directory,Industrial Hardware,London,34,Won,48702.96,Government
LD-578,09/06/2023,Email Campaign,Industrial Hardware,London,71,Enquiry,32794.72,Contractor
LD-579,09/07/2024,Referral,Industrial Hardware,South East,32,Qualified,56312.98,Retail
LD-580,27/11/2024,Cold Call,Industrial Hardware,London,83,Won,54290.31,Contractor
LD-581,17/07/2022,Website,Warehouse Equipment,London,22,Enquiry,55567.86,Contractor
LD-582,26/03/2024,Website,Packaging,South East,37,Won,29599.0,Contractor
LD-583,21/04/2024,Email Campaign,Industrial Hardware,South West,44,Enquiry,27055.9,Trade
LD-584,10/06/2022,Email Campaign,Packaging,Midlands,83,Lost,70704.55,Government
LD-585,29/05/2024,Online Directory,MRO Supplies,Midlands,52,Won,15676.9,Retail
LD-586,03/01/2022,Website,Industrial Hardware,London,64,Won,32683.45,Government
LD-587,07/03/2022,Referral,Industrial Hardware,North,17,Lost,80819.1,Contractor
LD-588,07/07/2023,Trade Show,Warehouse Equipment,South West,36,Qualified,56131.0,Government
LD-589,06/02/2024,Email Campaign,MRO Supplies,South East,55,Qualified,48915.46,Trade
LD-590,10/05/2023,Email Campaign,Industrial Hardware,South West,14,Enquiry,13687.13,Trade
LD-591,31/03/2023,Trade Show,Safety Products,London,70,Enquiry,39523.76,Government
LD-592,03/07/2023,Trade Show,MRO Supplies,North,51,Lost,51236.05,Retail
LD-593,02/03/2023,Website,Industrial Hardware,South West,49,Enquiry,38614.37,Retail
LD-594,04/02/2023,Trade Show,Industrial Hardware,South West,35,Proposal Sent,68624.5,Trade
LD-595,13/12/2022,Email Campaign,Warehouse Equipment,London,44,Lost,61827.17,Trade
LD-596,23/07/2024,Email Campaign,Warehouse Equipment,South West,79,Enquiry,61461.04,Trade
LD-597,11/06/2022,Website,Industrial Hardware,Midlands,38,Enquiry,28006.7,Trade
LD-598,14/08/2022,Cold Call,Industrial Hardware,South West,30,Proposal Sent,58910.76,Contractor
LD-599,26/06/2022,Trade Show,Safety Products,Midlands,59,Enquiry,25814.79,Trade
LD-600,19/04/2023,Website,MRO Supplies,South West,78,Lost,70805.37,Retail
LD-601,14/10/2023,Email Campaign,Safety Products,London,51,Lost,17818.96,Government
LD-602,28/05/2023,Online Directory,Industrial Hardware,London,61,Lost,19251.17,Contractor
LD-603,21/12/2022,Referral,Industrial Hardware,South East,8,Qualified,9338.72,Government
LD-604,07/01/2022,Trade Show,Safety Products,London,96,Enquiry,64252.11,Trade
LD-605,23/02/2023,Website,Industrial Hardware,South West,32,Enquiry,78199.01,Trade
LD-606,07/02/2023,Email Campaign,Safety Products,London,45,Proposal Sent,7985.56,Government
LD-607,10/03/2022,Cold Call,Safety Products,North,39,Lost,41994.63,Contractor
LD-608,12/03/2022,Online Directory,Industrial Hardware,North,50,Enquiry,5799.6,Trade
LD-609,15/07/2022,Trade Show,MRO Supplies,South West,80,Won,35661.99,Retail
LD-610,05/11/2024,Website,Packaging,London,18,Enquiry,7499.76,Government
LD-611,22/06/2022,Cold Call,Safety Products,London,42,Proposal Sent,7140.03,Government
LD-612,21/02/2023,Referral,Industrial Hardware,Midlands,18,Enquiry,6274.41,Government
LD-613,16/03/2022,Trade Show,Warehouse Equipment,South West,33,Qualified,15830.77,Government
LD-614,21/12/2023,Online Directory,Warehouse Equipment,South West,95,Won,8570.54,Trade
LD-615,13/08/2023,Online Directory,MRO Supplies,London,83,Won,34504.08,Government
LD-616,08/08/2024,Referral,Packaging,South East,91,Enquiry,17901.6,Contractor
LD-617,13/11/2022,Trade Show,Safety Products,Midlands,89,Lost,36672.56,Contractor
LD-618,25/05/2022,Referral,Safety Products,North,74,Won,84669.13,Trade
LD-619,14/08/2023,Trade Show,MRO Supplies,North,31,Enquiry,76518.46,Government
LD-620,14/10/2024,Referral,Packaging,South East,54,Qualified,35134.46,Government
LD-621,16/06/2024,Website,Safety Products,South West,69,Won,61805.45,Retail
LD-622,11/07/2022,Email Campaign,Warehouse Equipment,Midlands,53,Proposal Sent,25407.44,Government
LD-623,08/12/2024,Trade Show,MRO Supplies,Midlands,63,Enquiry,9090.6,Trade
LD-624,06/05/2024,Referral,Packaging,London,40,Proposal Sent,13080.31,Government
LD-625,08/09/2024,Website,Warehouse Equipment,South West,53,Won,15846.2,Retail
LD-626,18/07/2024,Trade Show,Industrial Hardware,Midlands,52,Qualified,35055.59,Government
LD-627,18/01/2022,Email Campaign,MRO Supplies,Midlands,77,Proposal Sent,73665.42,Retail
LD-628,20/04/2022,Online Directory,MRO Supplies,London,63,Qualified,68475.11,Trade
LD-629,21/12/2024,Online Directory,Industrial Hardware,South West,64,Proposal Sent,67911.36,Contractor
